title,company,description,posted_date,views,applications
Senior Python Backend Engineer,ZERO,"Today we are looking for a talented <b>Senior Python Backend Engineer</b> to join our team at ZERO for building AI-powered automation tools for time-consuming administrative tasks. <br><br>This role is a unique opportunity to work with high-load document processing tasks and implement AI services into a real business process of large companies. The products you will develop include NLP applications used by our diverse portfolio of customers in the Finance, Legal and Insurance industries. You will enjoy a complete lifecycle from data preparation/analysis to production code deployments<br><br><b>Responsibilities:</b><br><br>Design, build, and/or deliver microservices for document processing and components that solve real-world business problems, while working in collaboration with the Product, front-end developers and Data Science team;  <br>Leverage continuous integration and continuous deployment best practices, including test automation and monitoring <br>Integration of data storage solutions  <br><br><b>Qualifications: </b> <br><br>Bachelor’s or Master's in computer science, electrical engineering, mathematics, or a similar field. PhD is a plus;  <br>Proven programming experience in Python3 using efficient algorithms and software design patterns;   <br>Experience with Python3 frameworks (e.g. Django, Flask, FastAPI) <br>Knowledge of object-relational mapping (ORM) <br>Working experience with databases (e.g. Postgres) and data storage (S3)  <br>Experience with CI/CD tools (Jenkins, Gitlab etc)  <br>Knowledge of user authentication and authorization between multiple systems, servers, and environments <br>Experience with Linux, Docker and Container management tools (Kubernetes/Openshift) <br><br><b>Nice to have: </b><br><br>Experience developing and deploying solutions in a public cloud such as AWS, Azure, or Google Cloud Platform;  <br>Knowledge of JavaScript and the AngularJS framework is a plus <br>Experience in .NET/C# or C++ is a plus;",09:38 26.02.2024,334,95
Python Developer (Zagreb),Avalon soft,"About the project:<br>A set of services for document workflow that involves document generation, modification, and electronic digital signature.<br><br>Our technology stack:<br>Django, DRF, Python, Postgres<br><br>Requirements:<br>· Minimum 2.5 years of experience with Python<br>· Minimum 2 years of experience with Django and Django Rest<br>· Knowledge of REST and experience working with REST APIs<br>· Proficiency with PostgreSQL<br>· Strong understanding of algorithms, databases, and client-server architectures<br>· English language skills at the level of reading documentation or higher<br><br>Would be a plus:<br>· Experience with Redis, Kafka<br>· Experience with Zigbee protocol and devices<br>· Experience with Google or Amazon services.",09:14 26.02.2024,30,11
IoT developer  (LoRaWAN),Quintagroup,"Quintagroup is looking for LoRaWAN engineer  to join the development team of IoT solutions. <br><br><b>RESPONSIBILITIES:</b><br>    development with Python<br>    participation in planning and execution stages<br>    researching and using technologies to implement effective solutions<br><br><b>Technology Stack: </b><br><br>Python, Django, AWS, GCP,  LoRaWAN, mqtt<br><br><b>REQUIREMENTS:</b><br><br>    Strong knowledge of Python<br>    previous experience in IoT projects with  LoraWAN, mqtt<br>    Strong knowledge of GIT<br>    English B1+<br><br><br><b>WE OFFER:</b><br><br>    a company with a specialization in Python development for the last 20 years<br>    different domains of projects: IoT, FinTech, EdTech, GovTech,  e-commerce, marketplaces, e-auctions, e-learning, public procurement, development of complex AWS/GCP based solutions<br>    interesting tasks, possibilities for career and professional growth<br>    friendly atmosphere and good working conditions<br>    regular team-buildings and corporate parties<br>    English classes<br>    flexible working hours<br>    experience with new technologies",16:36 25.02.2024,120,12
(CTO) - AI/ML Startup (Cat Recruiter AI),Big Orange Cat,"We're a self-funded Ukrainian Startup/product company that develops AI recruiting solutions to make life of recruiters easier.<br><br><b>Job Description:</b><br>As the CTO, you will play a crucial role in leading our technology vision, driving product development, and shaping the future of AI in the recruiting industry. You will work closely with the CEO, participate in the development process, and manage the team. Your Python, React, AI, and ML expertise will be valuable in developing our Cat Recruiter AI product.<br><br><b>Key Responsibilities:</b><br>- Lead the development team, ensuring the application of best practices in AI, ML, and software development.<br>- Define architecture<br>- Communicate with the founder on the progress<br>- Ensure scalable architecture implementation on Google Cloud<br>- Technical Interviews<br><br><br><b>Qualifications:</b><br>Experience in leading the teams<br>Strong background in AI, ML, and deep learning technologies, with hands-on experience in PyTorch or similar frameworks.<br>AWS or Google Cloud experience<br>Experience with frontend would be a plus<br>Excellent problem-solving, strategic thinking, and communication skills.<br>Entrepreneurial mindset and experience in startup environments are highly desirable.<br><br><b>What We Offer</b>:<br>The opportunity to be a part of a pioneering team in the AI recruiting industry.<br>A competitive salary and a significant equity stake in the company (5% equity).<br>Flexible working hours and the possibility to work remotely.<br>Minimum meetings<br>2 days off per month<br>Chance to work and learn from the top1% Upwork ML expert",04:26 24.02.2024,290,38
Python Developer Middle/Senior,TheWhyKingz,"Привіт, друзі! 🖐<br><br>У нас стабільно і ми планово ростемо. До нашої чималенької команди беків потрібно ще аж цілих ТРИ! новеньких мембера рівня Strong Middle/Senior з досвідом в е-commerce проектах.<br>Продукт розділений на модулі, таски різноманітні, команда і процеси налаштовані, legacy немає.<br>Якщо готові стартувати, apply ✅ - розглянемо і поспілкуємось 🤝<br><br>Hiring process — 1 технічна співбесіда та фідбек✌️<br><br>Що для нас важливо:<br><br>— 2,5+ роки досвіду комерційної розробки<br>— мова програмування: Python 3.9+<br>— сервіси: PostgreSQL, MongoDB, Redis<br>— розуміння специфіки асинхронного підходу<br>— знання Linux-подібних операційних систем, macOS<br><br>Твоя перевага це:<br><br>— досвід із асинхронними фреймворками<br>— досвід з JS (використовується для Back Office)<br>— знайомий/а з iGaming індустрією<br><br>Трішечки про функціонал:<br><br>— підтримка та покращення продукту, розробка нового функціоналу<br>— забезпечення якості коду з використанням unit-тестів, code review, систем контролю версій та безперервної інтеграції<br>— завдання різнопланові, цікаві, тому нам імпонує кандидат із здатністю навчатися та розумінням мультитаскінг<br>— відповідальність за проект (у разі якихось проблемних ситуацій мати можливість «включитись» у будь-який момент)<br><br>Наша оферта:<br><br>— повний Remote (також є комфортне рабоче місце в сучасному і просторому офісі в БЦ Gulliver Київ/або офіс в центрі Риги з Playstation room, які можна відвідати будь-коли, на ваш вибір)<br>— Full-time work з гнучким графіком та жодних Time Tracker<br>— конкурентний рейт з щорічним переглядом<br>— офіційне працевлаштування<br>— 100% оплата sick-day & відпустки<br>— медичне страхування (в т.ч. стоматологія)<br>— компенсація спортзалу (або інші спортивні активності на вибір)<br>— навчання та розвиток за рахунок Компанії<br>— грошові бонуси та подарунки на визначні дати<br>— сучасна та якісна техніка<br>— English courses<br>— Team-building івенти<br><br>P.S. у разі релокейту ми, звісно, супортимо та компенсуємо",15:38 23.02.2024,188,90
Middle/Senior BE engineer with Python knowledge,Global17 East,"We are seeking a seasoned Backend Engineer who possesses a passion for crafting cutting-edge solutions. This role involves contributing to the development of our innovative, startup-like projects leveraging computational science and AI for the automation of construction planning.<br><br><b>We expect you to have</b><br><br>•	<b>2+</b> years of backend development experience in Django or Node.js for commercial applications.<br>•	Strong DB architecture knowledge, at least mySQL language. Other relational or non-relational languages (e.g. no-SQL) is a plus.<br>•	Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3<br>•	User authentication and authorization between multiple systems, servers, and environments<br>•	Understanding fundamental design principles behind a scalable application.<br>•	Experience with containerized applications.<br>•	Familiarity with DevOps processes, including continuous integration and continuous deployment (CI/CD)<br>•	Fluency in English<br>•	B.Sc. in Computer Science or a related field<br><br><b>Nice to have</b><br><br>•	Experience with Python development for commercial applications.<br>•	Experience with test-driven development (TDD) and proficiency in writing unit tests<br>•	Understanding of Python optimization for fast applications with low memory footprint.<br>•	Experience with scalable python development<br>•	Familiarity with C# and .NET development.<br>•	German language skills<br><br><b>What we offer</b><br><br>•	Competitive salary<br>•	Modern open space office in downtown Kyiv with dedicated desk & top technical equipment<br>•	Remote-friendly work environment<br>•	Among other fringe benefits we offer 4 weeks of paid holiday and paid Ukrainian holidays<br>•	Opportunity to co-create disruptive technologies for the construction sector <br>•	We invest in your professional growth and development",14:06 23.02.2024,89,18
Senior Python-focused engineer with BE knowledge,Global17 East,"We are seeking a seasoned python-focused engineer who possesses a passion for crafting cutting-edge solutions. This role involves contributing to the development of our innovative, startup-like projects leveraging computational science and AI for the automation of construction planning.<br><br><b>We expect you to have</b><br><br>•	<b>4+</b> years Python development in commercial applications.<br>•	Sound understanding of algorithm optimization for fast applications with low memory footprint.<br>•	Expertise with containerized python applications<br>•	Good understanding of scalable python development<br>•	Experience with test-driven development (TDD) and proficiency in writing unit tests<br>•	Fluency in English<br>•	B.Sc. in Computer Science or a related field<br><br><b>Nice to have</b><br><br>•	Good DB architecture knowledge, at least mySQL language. Other relational or non-relational languages (e.g. no-SQL) is a plus.<br>•	Experience with C++ for commercial applications.<br>•	Back-end expertise in either Node.js or Django.<br>•	Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3<br>•	User authentication and authorization between multiple systems, servers, and environments<br>•	Understanding fundamental design principles behind a scalable application.<br>•	Familiarity with DevOps processes, including continuous integration and continuous deployment (CI/CD)<br>•	Familiarity with C# and .NET development.<br>•	German language skills<br><br><b>What we offer</b><br><br>•	Competitive salary<br>•	Modern open space office in downtown Kyiv with dedicated desk & top technical equipment<br>•	Remote-friendly work environment<br>•	Among other fringe benefits we offer 4 weeks of paid holiday and paid Ukrainian holidays<br>•	Opportunity to co-create disruptive technologies for the construction sector <br>•	We invest in your professional growth and development",14:06 23.02.2024,57,5
Backend Team Lead (Python),Odore,"As a Backend Team Lead (Python), you will be responsible for leading and mentoring a dynamic team of developers. Your primary focus will be on architecting, designing, and implementing robust and scalable solutions using the project tech stack.<br><br>Key Responsibilities:<br><br>Technical Leadership: Provide technical leadership to the backend development team, ensuring the highest quality of code and adherence to best practices.<br><br>Architecture and Design: Architect and design scalable and efficient backend solutions using the project tech stack, including Python, MongoDB, FAST API framework, PostgreSQL, SqlAlchemy, Unit tests, and AWS.<br><br>Team Collaboration: Collaborate with cross-functional teams, including frontend developers, product managers, and QA engineers, to deliver end-to-end solutions.<br><br>Code Review and Quality Assurance: Conduct regular code reviews to maintain code quality and enforce coding standards. Implement and oversee unit tests to ensure the reliability of the system.<br><br>Mentorship and Skill Development: Provide guidance and mentorship to team members, fostering a culture of continuous learning and skill development.<br><br>Scalability and Performance Optimization: Identify opportunities for system optimization, performance improvements, and scalability enhancements.<br><br>Documentation: Maintain comprehensive technical documentation for the backend systems, ensuring clarity and knowledge transfer within the team.<br><br>Requirements:<br><br>Minimum 8 years of experience in software development.<br>Proven experience as a team lead or in a leadership role.<br>Strong proficiency in Python and experience with relevant frameworks and libraries.<br>Expertise in MongoDB, FAST API framework, PostgreSQL, SqlAlchemy, Unit tests, and AWS.<br>Excellent problem-solving skills and ability to think critically.<br>Strong communication and interpersonal skills.<br>Ability to thrive in a fast-paced and collaborative environment.<br><br>Preferred Qualifications:<br><br>Experience with microservices architecture.<br>Familiarity with containerization technologies (Docker, Kubernetes).<br>Previous experience in a startup or fast-growing tech environment.<br><br>Benefits:<br>25 vacation days per year<br>10 sick leave days per year<br>Remote / Flexible working<br>Annual team retreats<br>Investment in learning & development",17:32 22.02.2024,27,5
QA Automation Engineer,PLVision,"We invite a Quality Assurance (QA) Automation Engineer with 2+ years of commercial experience in embedded software validation and test automation to join new PLVision’s project for one of the leaders in the networking industry. In this role, you will validate new DASH functionality for modern Data Processing Unit (DPU)/ Intelligence Processing Unit (IPU) systems and collaborate in open-source communities.  <br><br>This is an opportunity to get a stable job in a reliable company that continues to hire and extend in Ukraine.  <br><br>About PLVision    <br>We are a software product development company specializing in computer networking and embedded systems. PLVision has offices in Krakow, Poland, and in Ukraine: Lviv, Odesa, Kyiv, and Kharkiv (currently relocated). Founded in 2007, the company helps networking industry leaders and ambitious startups in the U.S., Israel, and the EU countries to launch innovative products. <br><br>Vacancy responsibilities:<br>• Validate new DASH functionality for modern Data Processing Unit (DPU)/ Intelligence Processing Unit (IPU) systems<br>• Test implementation, execution and automation<br>• Collaborate with the open-source community on alignment and introduce new functionality<br>• Prepare test case reports<br>• Perform test analysis and debugging<br><br>Vacancy requirements:<br>• Bachelor's degree in Computer Science or related technical discipline<br>• 2+ years of commercial experience in Embedded Software Validation and Test Automation<br>• Good knowledge of Python<br>• Good knowledge of Linux, at least as a user<br>• Experience with Linux tools and Bash<br>• Knowledge of test frameworks like Pytest, PTF, etc.<br>• Basic network knowledge (L2/L3, routing/switching)<br>• Understanding of CI/CD, Jenkins<br>• Good communication skills and the ability to work in a team<br>• Knowledge of technical English at Intermediate level or higher<br><br>Vacancy plus options:<br>Experience with open-source projects<br>SAI(Switch Abstraction Interface)/SONiC (Software for Open Networking in the Cloud) validation experience<br>Familiarity with Linux network tools<br>Experience in virtualization, containerization and Python virtual environments<br>Experience with software and hardware traffic generators (e.g., IXIA, Scapy, etc.)",15:52 22.02.2024,117,15
Middle Python Developer,GlobalLogic,"At the project, we solve transportation challenges across the globe for millions of travelers every day, by delivering real-time transit data feeds to journey planners and a platform for transit authorities and operators. Our clients include Google, Apple, Microsoft, and public sector organizations such as the Department of Transport and Transport for West Midlands.<br><br>Our Analytics platform allows our users to understand the performance of their transit network. Real-time and timetable data is consumed and analysed to determine on-time performance of vehicles operating the transit network. Data is converted to OLAP cubes to support querying of performance data.<br><br>Requirements:<br>Primary technologies that the team uses are: Python, SQL, AWS, including Kinesis Data Firehose<br>S3, RedShift, PostgreSQL, Apache Flink, Apache Airflow<br>Tools used by the team: Jira, Gitlab, Docker<br>In addition, we also make use of Apache Spark, GraphQL<br>This role sees the individual augmented within the existing development team<br>Key personal qualities that we look for in our team members are:<br>Supportive of colleagues, taking time to assist others and help them learn<br>Willingness to collaborate when problem-solving and bring ideas based on other experience<br>Ability to effectively plan work with the team and then deliver on commitments<br>Focus on the deliverables of the team, stepping out of their own role to help others in the team get the team commitments completed<br><br>Job Responsibilities:<br>General Engineering responsibilities<br>New features implementation<br>Refactoring<br>Working with the professional team / outstaff model<br>Our Analytic team is split into two, one team looking after the data warehouse, the other the web application middleware (Django) and front end (Angular)<br>Both teams use a Scrum methodology with two-week sprint cycles. Prior to the sprint, the teams will work with the product team to understand the items that will be included in future sprints and identify the necessary work. This process includes all members of the team, as do the other sprint ceremonies<br>Whilst implementation will be carried out in the context of a sprint, the Principal Engineer will not necessarily contribute to deliverables of the sprint, instead working to identify improvements in our data warehouse solution, and supporting other team members as they implement changes in the sprint",14:10 22.02.2024,39,16
